source_chunk_id,reason,candidate_json
row_00215::c0000,SOURCE_NOT_IN_EVIDENCE,"{""source"": ""Dubai Electricity and Water Authority"", ""source_type"": ""Company"", ""relation"": ""USES"", ""target"": ""ChatGPT"", ""target_type"": ""Technology"", ""evidence"": ""DEWA is working to enrich its services with ChatGPT technology"", ""confidence"": 0.95}"
row_00215::c0000,SOURCE_NOT_IN_EVIDENCE,"{""source"": ""Dubai Electricity and Water Authority"", ""source_type"": ""Company"", ""relation"": ""PARTNERED_WITH"", ""target"": ""Microsoft"", ""target_type"": ""Company"", ""evidence"": ""supported by Microsoft"", ""confidence"": 0.95}"
row_00395::c0000,INVALID_RELATION_DIRECTION_OR_ENDPOINT_TYPES|SOURCE_NOT_IN_EVIDENCE,"{""source"": ""Aqara"", ""source_type"": ""Company"", ""relation"": ""WORKED_AT"", ""target"": ""Samsung"", ""target_type"": ""Company"", ""evidence"": ""the smart home manufacturer has been working with Samsung"", ""confidence"": 0.95}"
row_00746::c0000,SOURCE_NOT_IN_EVIDENCE,"{""source"": ""ServiceNow"", ""source_type"": ""Company"", ""relation"": ""DEVELOPED"", ""target"": ""generative AI capabilities"", ""target_type"": ""Technology"", ""evidence"": ""to develop powerful enterprise-grade generative AI capabilities"", ""confidence"": 0.95}"
row_01808::c0000,SOURCE_NOT_IN_EVIDENCE,"{""source"": ""Dell Technologies Inc."", ""source_type"": ""Company"", ""relation"": ""USES"", ""target"": ""Microsoft Azure"", ""target_type"": ""Technology"", ""evidence"": ""The new Apex Cloud Platforms integrates services from Microsoft Azure."", ""confidence"": 0.95}"
row_02905::c0000,SOURCE_NOT_IN_EVIDENCE,"{""source"": ""Amazon Web Services"", ""source_type"": ""Company"", ""relation"": ""USES"", ""target"": ""artificial intelligence chips"", ""target_type"": ""Technology"", ""evidence"": ""considering using new artificial intelligence chips from Advanced Micro Devices Inc"", ""confidence"": 0.75}"
row_02905::c0000,SOURCE_NOT_IN_EVIDENCE,"{""source"": ""Amazon Web Services"", ""source_type"": ""Company"", ""relation"": ""INVESTED_IN"", ""target"": ""Advanced Micro Devices Inc"", ""target_type"": ""Company"", ""evidence"": ""new artificial intelligence chips from Advanced Micro Devices Inc"", ""confidence"": 0.75}"
row_03054::c0000,SOURCE_NOT_IN_EVIDENCE,"{""source"": ""KPMG"", ""source_type"": ""Company"", ""relation"": ""PARTNERED_WITH"", ""target"": ""Microsoft"", ""target_type"": ""Company"", ""evidence"": ""expanded partnership with Microsoft"", ""confidence"": 0.95}"
row_03123::c0000,INVALID_RELATION_DIRECTION_OR_ENDPOINT_TYPES|SOURCE_NOT_IN_EVIDENCE,"{""source"": ""When I Work"", ""source_type"": ""Company"", ""relation"": ""LEADS"", ""target"": ""Kavitha Radhakrishnan"", ""target_type"": ""Person"", ""evidence"": ""has appointed Kavitha Radhakrishnan as its new Chief Product Officer"", ""confidence"": 0.95}"
row_03123::c0000,INVALID_RELATION_DIRECTION_OR_ENDPOINT_TYPES|EVIDENCE_NOT_VERBATIM_IN_CHUNK,"{""source"": ""When I Work"", ""source_type"": ""Company"", ""relation"": ""LEADS"", ""target"": ""Paul Cowan"", ""target_type"": ""Person"", ""evidence"": ""has appointed Paul Cowan as its new Chief Growth Officer"", ""confidence"": 0.95}"
row_03146::c0000,SOURCE_NOT_IN_EVIDENCE,"{""source"": ""Ivy Tech Community College"", ""source_type"": ""Company"", ""relation"": ""PARTNERED_WITH"", ""target"": ""Jobs for the Future"", ""target_type"": ""Company"", ""evidence"": ""in partnership with national nonprofit Jobs for the Future"", ""confidence"": 0.95}"
row_03289::c0000,SOURCE_NOT_IN_EVIDENCE,"{""source"": ""the company"", ""source_type"": ""Company"", ""relation"": ""USES"", ""target"": ""supercomputers"", ""target_type"": ""Technology"", ""evidence"": ""will use its experience in supercomputers"", ""confidence"": 0.75}"
row_03289::c0000,SOURCE_NOT_IN_EVIDENCE,"{""source"": ""the company"", ""source_type"": ""Company"", ""relation"": ""DEVELOPED"", ""target"": ""large language models"", ""target_type"": ""Technology"", ""evidence"": ""to offer a service specifically for what are called large language models"", ""confidence"": 0.75}"
row_03395::c0000,SOURCE_NOT_IN_EVIDENCE,"{""source"": ""Google Cloud"", ""source_type"": ""Company"", ""relation"": ""DEVELOPED"", ""target"": ""Claude 2"", ""target_type"": ""Technology"", ""evidence"": ""pre-announcing Claude 2 from Anthropic"", ""confidence"": 0.75}"
row_03507::c0000,SOURCE_NOT_IN_EVIDENCE,"{""source"": ""Chad M. Moss M.D."", ""source_type"": ""Person"", ""relation"": ""WORKED_AT"", ""target"": ""MRMC"", ""target_type"": ""Company"", ""evidence"": ""first surgeon to perform 1000 procedures at MRMC"", ""confidence"": 0.95}"
row_03702::c0000,INVALID_RELATION_DIRECTION_OR_ENDPOINT_TYPES,"{""source"": ""Fidelity National Information Services Inc."", ""source_type"": ""Company"", ""relation"": ""FOUNDED"", ""target"": ""Fidelity National Information Services"", ""target_type"": ""Company"", ""evidence"": ""Fidelity National Information Services Inc. (NYSE:FIS)"", ""confidence"": 0.95}"
row_03794::c0000,INVALID_RELATION_DIRECTION_OR_ENDPOINT_TYPES,"{""source"": ""Proton"", ""source_type"": ""Company"", ""relation"": ""FOUNDED"", ""target"": ""2014"", ""target_type"": ""Technology"", ""evidence"": ""Proton, which was founded in 2014"", ""confidence"": 0.95}"
row_04338::c0000,SOURCE_NOT_IN_EVIDENCE,"{""source"": ""Kyndryl"", ""source_type"": ""Company"", ""relation"": ""PARTNERED_WITH"", ""target"": ""AWS"", ""target_type"": ""Company"", ""evidence"": ""new threat intelligence collaboration with AWS"", ""confidence"": 0.95}"
row_04762::c0000,SOURCE_NOT_IN_EVIDENCE,"{""source"": ""Hewlett Packard Enterprise"", ""source_type"": ""Company"", ""relation"": ""ACQUIRED"", ""target"": ""Axis Security"", ""target_type"": ""Company"", ""evidence"": ""to acquire Axis Security"", ""confidence"": 0.95}"
