source_raw,source_type,relation,target_raw,target_type,source_chunk_id,published_date,evidence,confidence,source_name,target_name,source_name_norm,target_name_norm,source_id,target_id,edge_id
Aeris Communications,Company,PARTNERED_WITH,Ericsson,Company,row_00033::c0000,2022-12-07,Aeris Communications and Ericsson are joining together,0.95,Aeris Communications,Ericsson,aeris communications,ericsson,0ecbd5177fafb6f25a33707e,02f50203f5a967ac3ebb42be,ca2fc4de47e9039a29c58d98cf33826118064119
ServiceNow,Company,PARTNERED_WITH,NVIDIA,Company,row_00746::c0000,2023-05-17,ServiceNow and NVIDIA today announced a partnership,0.95,ServiceNow,NVIDIA,servicenow,nvidia,cc9c6ee3857729e221d3f6de,b823fb02e58a12bdc4c38934,a1085c450a933c5ce983d66acc53a25d35aef8fc
Aeris,Company,ACQUIRED,Ericsson,Company,row_00935::c0000,2023-01-18,Aeris has acquired Ericsson's IoT Accelerator and Connected Vehicle Cloud businesses,0.95,Aeris,Ericsson,aeris,ericsson,ce0b6a8e50a6a58526e4c85f,02f50203f5a967ac3ebb42be,027f1632abb71a80b34f69f174379ce014aacb80
Google,Company,DEVELOPED,artificial intelligence,Technology,row_03380::c0000,2023-07-21,"Google, Meta, and OpenAI have voluntarily made commitments on developing and managing artificial intelligence",0.95,Google,artificial intelligence,google,artificial intelligence,0e132222d1315530d6efca52,1a324b330bd048e7308e53f0,cdcaedb0f25e0edf876c935e811105911db84480
Meta,Company,DEVELOPED,artificial intelligence,Technology,row_03380::c0000,2023-07-21,"Google, Meta, and OpenAI have voluntarily made commitments on developing and managing artificial intelligence",0.95,Meta,artificial intelligence,meta,artificial intelligence,6dbfdfc5a4e8df3668a4dac3,1a324b330bd048e7308e53f0,57682e3b956b7fd19c4153cca0d422fe108eddfa
OpenAI,Company,DEVELOPED,artificial intelligence,Technology,row_03380::c0000,2023-07-21,"Google, Meta, and OpenAI have voluntarily made commitments on developing and managing artificial intelligence",0.95,OpenAI,artificial intelligence,openai,artificial intelligence,773eeb9b7cc008bff365fcdd,1a324b330bd048e7308e53f0,5df81ff7e5477c133b57898ebef6b0b612400c30
Google Cloud,Company,USES,Llama 2,Technology,row_03395::c0000,2023-08-29,Google Cloud is announcing availability of Llama 2,0.95,Google Cloud,Llama 2,google cloud,llama 2,909fcd9c188c8c2429afa468,afec5285c51fcb0000ca9afa,fd6ad61f35d11acc01d9e823904f9fa132659e2b
Google Cloud,Company,USES,Code Llama,Technology,row_03395::c0000,2023-08-29,Google Cloud is announcing availability of Llama 2 and Code Llama from Meta,0.95,Google Cloud,Code Llama,google cloud,code llama,909fcd9c188c8c2429afa468,627c90afc7e58f22a0637349,4ba144623bab6294b17db563af4dc4d436f75d54
Google Cloud,Company,USES,Falcon LLM,Technology,row_03395::c0000,2023-08-29,Google Cloud is announcing availability of Llama 2 and Code Llama from Meta and Technology Innovative Institute's Falcon LLM,0.95,Google Cloud,Falcon LLM,google cloud,falcon llm,909fcd9c188c8c2429afa468,8af8e17ecdf20a7ed7ebf6d7,f9423a32801877bf6beebbcca48092f8f2d2d55e
Nvidia,Company,USES,chips,Technology,row_03432::c0000,2023-02-22,Nvidia's CEO said use of its chips to power artificial intelligence (AI) services,0.95,NVIDIA,chips,nvidia,chips,b823fb02e58a12bdc4c38934,934271022c07755cad9182b0,799bb28f9beda5f06b6f9fd9fb403bb0789fc934
H2O.ai,Company,DEVELOPED,H2O AI Cloud,Technology,row_03498::c0000,2023-04-13,H2O.ai today announced the launch of H2O AI Cloud,0.95,H2O.ai,H2O AI Cloud,h2o.ai,h2o ai cloud,1fb6f1337f1c2305d3c6fefe,3a0b9f171c10cd7d231f96d0,69e2b0787ac9b6db9d2134e41866533c4d464b1a
Snowflake,Company,DEVELOPED,Manufacturing Data Cloud,Technology,row_03498::c0000,2023-04-13,Manufacturing Data Cloud launched by Snowflake,0.95,Snowflake,Manufacturing Data Cloud,snowflake,manufacturing data cloud,879eef50f3e2d235cccb1790,2ee142c84a52210f0a8e6ada,801e78a1f6e4d43ff5e4277ec69737a282e892cd
Bill Chappell,Person,LEADS,Strategic Missions and Technologies,Company,row_03529::c0000,2023-06-09,Bill Chappell chief technology officer for Strategic Missions and Technologies,0.95,Bill Chappell,Strategic Missions and Technologies,bill chappell,strategic missions and technologies,484f3c9dd94fc58f2b43919b,bbec5af77f9d18669e926e3c,dfd44256cd0f78c321ca043055ba0fead537740d
